Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
"Salaries and Expenses, Library of Congress",Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, Library of Congress",0,0,0,0,0
Books for the Blind and Physically Handicapped: Salaries and Expenses,Education,Education not definable by level,Research and general education aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0,0,0,0,0
Corporation for Public Broadcasting,Education,Education not definable by level,Research and general education aids (503),Corporation for Public Broadcasting,0,0,0,0,0
National Endowment for the Arts: Grants and Administration,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Arts: Grants and Administration,0,0,0,0,0
National Endowment for the Humanities: Grants and Administration,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Humanities: Grants and Administration,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Research and general education aids (503),Salaries and Expenses,0,0,0,0,0
Facilities Capital,Education,Education not definable by level,Research and general education aids (503),Facilities Capital,0,0,0,0,0
"Salaries and Expenses, National Gallery of Art",Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, National Gallery of Art",0,0,0,0,0
Holocaust Memorial Museum,Education,Education not definable by level,Research and general education aids (503),Holocaust Memorial Museum,0,0,0,0,0
Office of Museum and Library Services: Grants and Administration,Education,Education not definable by level,Research and general education aids (503),Office of Museum and Library Services: Grants and Administration,0,0,0,0,0
American Jobs Act,Education,Education not definable by level,Training and employment (504),American Jobs Act,0,0,0,0,0
Program Administration,Education,Education not definable by level,Training and employment (504),Program Administration,0,0,0,0,0
Training and Employment Services,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0,0,0,0,0
Training and Employment Services,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0,0,0,0,0
Training and Employment Services,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0,0,0,0,0
Community Service Employment for Older Americans,Education,Education not definable by level,Training and employment (504),Community Service Employment for Older Americans,0,0,0,0,0
State Unemployment Insurance and Employment Service Operations,Education,Education not definable by level,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0,0,0,0,0
Office of Job Corps,Education,Education not definable by level,Training and employment (504),Office of Job Corps,0,0,0,0,0
TAA Community College and Career Training Grant Fund,Education,Education not definable by level,Training and employment (504),TAA Community College and Career Training Grant Fund,0,0,0,0,0
Federal Unemployment Benefits and Allowances,Education,Education not definable by level,Training and employment (504),Federal Unemployment Benefits and Allowances,0,0,0,0,0
Unemployment Trust Fund,Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0,0,0,0,0
Unemployment Trust Fund,Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0,0,0,0,0
Payment in Lieu of Tax Credit for New Jobs and Wage Increases,Education,Education not definable by level,Training and employment (504),Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Office of the Inspector General,Education,Education not definable by level,Other labor services (505),Office of the Inspector General,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0,0,0,0,0
Rehabilitation Services and Disability Research,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0,0,0,0,0
Rehabilitation Services and Disability Research,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0,0,0,0,0
Rehabilitation Services and Disability Research,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0,0,0,0,0
Salaries and Expenses,Education,Education not definable by level,Social services (506),Salaries and Expenses,0,0,0,0,0
Payment to National Service Trust Fund,Education,Education not definable by level,Social services (506),Payment to National Service Trust Fund,0,0,0,0,0
Operating Expenses,Education,Education not definable by level,Social services (506),Operating Expenses,0,0,0,0,0
Operating Expenses,Education,Education not definable by level,Social services (506),Operating Expenses,0,0,0,0,0
"Payment from the General Fund, National Service Trust Fund",Education,Education not definable by level,Social services (506),"Payment from the General Fund, National Service Trust Fund",0,0,0,0,0
Gifts and Contributions,Education,Education not definable by level,Social services (506),Gifts and Contributions,0,0,0,0,0
Gifts and Contributions,Education,Education not definable by level,Social services (506),Gifts and Contributions,0,0,0,0,0
Supporting Healthy Families and Adolescent Development,Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0,0,0,0,0
Supporting Healthy Families and Adolescent Development,Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0,0,0,0,0
Social Services Block Grant,Education,Education not definable by level,Social services (506),Social Services Block Grant,0,0,0,0,0
Children and Families Services Programs,Education,Education not definable by level,Social services (506),Children and Families Services Programs,0,0,0,0,0
Children and Families Services Programs,Education,Education not definable by level,Social services (506),Children and Families Services Programs,0,0,0,0,0
Aging Services Programs,Education,Education not definable by level,Social services (506),Aging Services Programs,0,0,0,0,0
"Current Operations  Educational Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",Education,Education not definable by level,"Current Operations  Educational Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",,0,0,0,0,0
Current Operations  State Education  Other (E21),Education,Education not definable by level,Current Operations  State Education  Other (E21),,0,0,0,0,0
Current Operations  Libraries (E52),Education,Education not definable by level,Current Operations  Libraries (E52),,0,0,0,0,0
Construction  State Education  Other (F21),Education,Education not definable by level,Construction  State Education  Other (F21),,0,0,0,0,0
Construction  Libraries (F52),Education,Education not definable by level,Construction  Libraries (F52),,0,0,0,0,0
Other Capital Outlay  State Education  Other (G21),Education,Education not definable by level,Other Capital Outlay  State Education  Other (G21),,0,0,0,0,0
Other Capital Outlay  Libraries (G52),Education,Education not definable by level,Other Capital Outlay  Libraries (G52),,0,0,0,0,0
Assistance and Subsidies  State Scholarships and Other Subsidies  Education (J19),Education,Education not definable by level,Assistance and Subsidies  State Scholarships and Other Subsidies  Education (J19),,0,0,0,0,0
Subsidiary services to education,Education,Subsidiary services to education,,,0,0,0,0,0
R&D Education,Education,R&D Education,,,0,0,0,0,0
Education n.e.c.,Education,Education n.e.c.,,,0,0,0,0,0
"Recoveries under the Foreign Military Sales Program, Navy",Defense,Military defense,Department of Defense  Military (051),"Recoveries under the Foreign Military Sales Program, Navy",0,0,0,0,0
"General Fund Proprietary Receipts, not Otherwise Classified, Navy",Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Navy",0,0,0,0,0
"General Fund Proprietary Receipts, not Otherwise Classified, Army",Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Army",0,0,0,0,0
"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",0,0,0,0,0
"General Fund Proprietary Receipts, not Otherwise Classified, Defense Agencies",Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Defense Agencies",0,0,0,0,0
Contributions for Burdensharing and Other Cooperative Activities (Kuwait),Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Kuwait),0,0,0,0,0
Contributions for Burdensharing and Other Cooperative Activities (Japan),Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Japan),0,0,0,0,0
Contributions for Burdensharing and Other Cooperative Activities (So. Korea),Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (So. Korea),0,0,0,0,0
Payment to Voluntary Separation Incentive Fund,Defense,Military defense,Department of Defense  Military (051),Payment to Voluntary Separation Incentive Fund,0,0,0,0,0
"Operation and Maintenance, Defensewide",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Defensewide",0,0,0,0,0
Drug Interdiction and CounterDrug Activities,Defense,Military defense,Department of Defense  Military (051),Drug Interdiction and CounterDrug Activities,0,0,0,0,0
Office of the Inspector General,Defense,Military defense,Department of Defense  Military (051),Office of the Inspector General,0,0,0,0,0
"Operation and Maintenance, Marine Corps",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Marine Corps",0,0,0,0,0
"Operation and Maintenance, Marine Corps Reserve",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Marine Corps Reserve",0,0,0,0,0
Department of Defense Acquisition Workforce Development Fund,Defense,Military defense,Department of Defense  Military (051),Department of Defense Acquisition Workforce Development Fund,0,0,0,0,0
Defense Health Program,Defense,Military defense,Department of Defense  Military (051),Defense Health Program,0,0,0,0,0
Cooperative Threat Reduction Account,Defense,Military defense,Department of Defense  Military (051),Cooperative Threat Reduction Account,0,0,0,0,0
"Operation and Maintenance, Navy",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Navy",0,0,0,0,0
"Operation and Maintenance, Navy Reserve",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Navy Reserve",0,0,0,0,0
"Operation and Maintenance, Army",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Army",0,0,0,0,0
"Operation and Maintenance, Army National Guard",Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Army National Guard",0,0,0,0,0
